cluster_id,X,Y
0,46.1612776,14.6858708
1,46.0605431,14.6140286
2,46.02408695,14.476325692704084
3,46.0324193,14.500203
4,46.2326087,14.329421535048724
5,45.9710284,14.3052555
6,46.4047003,15.7987986
7,46.54548415,15.514972772153534
8,46.579626,15.8500327
9,45.5370616,13.7318526
10,46.2396573,15.3208602
11,45.82255535,15.156290594077513
12,46.24351355,14.372100849999992
13,46.431435,14.064841650000002
15,46.5273938,15.657920422975732
16,46.2206013,15.3210776
17,45.9150955,14.2359079
18,46.06005025,13.62375716098112
19,46.4362798,14.041571405042612
20,45.6582955,14.1839412
21,45.95624185,13.65708776486368
22,45.938923200000005,13.68603197286104
23,45.9034609,15.03345122
24,46.3377962,14.1834614
25,46.2627092,14.3193832
26,46.44000995,14.035187237224324
27,45.6537442,14.8549584
28,46.2518992,15.1649852
29,46.2427672,15.297059450195707
30,46.6682875,16.174186826536644
31,45.9666038,13.64046975
32,45.9564676,13.678528
33,46.1812976,13.7552363
34,45.554785,13.744093375000002
35,46.5236226,15.654701819428093
36,46.69700365,15.902957030480133
37,46.3669614,15.1333514
38,46.5254164,15.65129215
39,45.52608695,13.574641982860063
40,46.3707435,15.1191993
41,45.80453625,15.198177454540756
42,46.5424612,14.9503533
43,46.52949,16.1898339
44,46.42555805,14.093368723043362
45,46.54650705,16.455308273986113
46,46.71530765,16.168130439525733
47,46.1867223,14.547208
48,46.65044995,16.169262133891753
49,45.5800614,13.9960242
50,45.7952471,14.3419515
51,45.7978029,14.357982
52,46.5331174,15.072624
53,45.94825935,15.51139469312967
54,46.38328855,15.66799194041027
55,46.5544466,15.619683349409264
56,46.52867015,15.649392549344029
57,45.974143,14.313384832690158
58,46.51027595,15.655034845780412
59,46.6346367,16.010083186943866
60,46.6443599,16.024582150238167
61,46.48498025000001,13.779394770968093
62,46.4843038,13.780697195762016
63,46.3404511,15.4282954
64,45.9537945,14.70760519732685
66,46.1601723,14.601518
67,45.7035241,13.8519449
68,46.2415189,15.299008100505766
70,45.6537442,14.8549584
71,45.97761365,15.0113497
72,45.934516,15.0182785
73,46.435758750000005,14.050776911770743
74,45.92142835,15.58927694109008
75,46.0325148,14.467829600000002
76,45.5294626,13.736661223658928
77,46.39692955,15.554414613198007
78,46.442937400000005,14.03729840140186
79,46.4381861,14.049460356144069
81,46.2627092,14.3193832
82,46.2365876,15.2633188
83,46.2436634,15.2807223
84,46.3862577,15.9418909
86,46.6631014,16.16809505
87,45.5347556,13.8154812
88,46.5436177,14.9450085
89,49.96729655,20.647832200000003
90,46.0742702,14.5107928
91,46.0772903,14.512746570229837
92,46.0647094,14.5092881
94,46.059955900000006,14.506215643269938
95,45.54708,13.7380815
96,46.57499385,16.44747828967857
99,46.60732235,16.23759022275801
100,46.1495228,14.5904142
101,46.0450979,14.4908464
102,45.5332241,13.667687883388492
103,45.9542876,13.6738601
104,46.5519794,16.447560168317708
105,46.068818,14.513452328792988
106,46.0659284,14.612032
107,45.9568774,13.6473093
108,46.16818565,14.58713015142494
109,46.0566506,14.5094425
110,46.3898272,15.583540159761055
111,46.5550004,16.449245302562133
112,46.5600233,16.44760190048781
113,46.6148168,15.212698503741697
114,46.3796253,15.3830956
115,46.6847212,16.0576325
116,46.5595888,15.6643072
117,46.68047415,16.214492949400363
118,45.6798993,13.970566
120,46.5461349,16.4461765
121,46.66390665,16.165599171233247
122,46.0632725,14.552077275193756
123,46.06121225,14.56577174830142
124,46.0631161,14.563345748740534
125,46.6645795,16.000701252752965
126,46.3633832,15.0588119
128,46.24153265,15.27778229752978
129,45.92048425,13.628298442600798
130,46.41671825,15.985822176979912
131,46.08474275,14.46775173328873
133,46.6697402,16.1785452
134,46.67027245,16.183198309950058
135,46.6630608,16.188019202941174
137,46.420584,15.8758624
138,46.06507305,14.502722872990258
139,46.67748805,15.990372709530911
140,46.5616615,15.6572694
141,46.55305195,15.60257350202939
142,46.52441795,15.66845813398811
143,46.5419822,14.9102336
144,46.6593731,16.175712767067765
145,46.38696035,15.874681466011854
146,46.1906978,14.517069152249562
147,45.92256575,13.63882300655828
148,45.544601,13.686388778884952
149,46.3384907,14.9574313
150,46.524166,16.1928055
151,46.3369832,15.4605486
153,46.5346773,15.665467980607556
155,46.4162178,15.8853285
156,46.4208208,15.881821
157,29.231300500000003,82.03863954360415
158,46.3775989,14.08631827576936
159,46.52508915,16.189830403983052
160,46.4236011,15.8821576
161,45.6488788,15.332630031658756
162,46.2683346,13.9570437
163,46.3706054,15.3943614
167,43.2950843,16.8486874
170,45.55286045,13.76457102343431
171,46.4986084,15.64924073911508
172,46.5588394,15.6443807
174,46.6085193,15.910786100000005
175,46.479155000000006,13.8761801
177,46.2843014,13.5162038547596
178,46.086338,14.482877155057691
179,46.06851225,14.518437752560605
181,49.4116462,14.671067073598662
183,46.0504448,14.4602591
184,46.043010800000005,14.49095522064538
185,46.5603562,15.6515979
186,46.23689415,15.083938749934706
187,46.1733974,14.347288201824234
189,46.53934475,16.448846659292943
190,46.5653008,15.644295964873384
191,46.0455765,14.4909853
192,46.5165878,15.6532285
193,46.0235789,14.419759930398854
194,45.9001895,15.6523203
195,45.5350811,13.7289878
197,45.6794436,13.9642116
198,45.6794436,13.9642116
199,46.24347715,14.370830944803284
201,46.5591452,15.6517598
203,46.2284729,15.2674237
205,46.5544487,15.636765096165943
206,46.0729733,14.498701693839608
207,46.07679185,14.499763250915803
208,46.07679185,14.499763250915803
209,46.07533535,14.5042622
211,45.5458166,13.7336885
212,45.5458166,13.7336885
213,46.0511472,14.519736745803645
214,46.0522977,14.5193957
216,46.0976224,14.5323397
217,45.5351748,13.7365117
218,46.0597989,14.5206727
219,46.0646629,14.548715
220,46.0597989,14.5206727
221,46.0597989,14.5206727
222,46.0642021,14.5273682
223,46.53114775,15.659648405453602
224,46.05366755,14.503516882903057
