,DAT_ODDAJA,DAT_PREJEM_ZAV,DB_CLUSTER_LOCATION_ODDAJA,DB_CLUSTER_LOCATION_PREJEMA,IZVOR ODPADKA,NAZIV_ODPADKA_MERGED,NEVAREN,DB_CLUSTER_LOCATION_ODDAJA_X,DB_CLUSTER_LOCATION_ODDAJA_Y,DB_CLUSTER_LOCATION_PREJEMA_X,DB_CLUSTER_LOCATION_PREJEMA_Y,KOLIČINA ODPADKA v kg
0,01.02.17,01.02.17,0,0,NASTAJANJE KOMUNALNIH ODPADKOV,Baterije,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,2302.0
1,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,21860.0
2,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,124.05
3,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Metalni odpadki,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,25.0
4,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,1829.0
5,01.02.17,01.02.17,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,15328.0
6,01.02.17,01.02.17,0,3,NASTAJANJE KOMUNALNIH ODPADKOV,Metalni odpadki,*,46.160852649999995,14.685852295708152,46.2326087,14.329421535048724,215.0
7,01.02.17,01.02.17,0,5,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.160852649999995,14.685852295708152,46.4047003,15.7987986,2082.0
8,01.02.17,01.02.17,0,7,NASTAJANJE NEKOMUNALNIH ODPADKOV,Električni odpadki,*,46.160852649999995,14.685852295708152,46.579626,15.8500327,1.0
9,01.02.17,01.02.17,0,7,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.160852649999995,14.685852295708152,46.579626,15.8500327,3.0
10,01.02.17,01.02.17,0,9,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.160852649999995,14.685852295708152,46.2396573,15.3208602,795.28
11,01.02.17,01.02.17,0,23,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.160852649999995,14.685852295708152,46.2427672,15.297059450195707,34.0
12,01.02.17,01.02.17,5,5,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.4047003,15.7987986,46.4047003,15.7987986,50.0
13,01.02.17,01.02.17,5,5,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.4047003,15.7987986,46.4047003,15.7987986,430.0
14,01.02.17,01.02.17,8,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,45.9034609,15.03345122,46.160852649999995,14.685852295708152,2380.0
15,01.02.17,01.02.17,14,23,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.2206013,15.3210776,46.2427672,15.297059450195707,180.0
16,01.02.18,01.02.18,0,0,NASTAJANJE KOMUNALNIH ODPADKOV,Baterije,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,2328.0
17,01.02.18,01.02.18,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Baterije,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,10211.0
18,01.02.18,01.02.18,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Medicinski odpadki,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,1732.25
19,01.02.18,01.02.18,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,73.0
20,01.02.18,01.02.18,0,0,NASTAJANJE NEKOMUNALNIH ODPADKOV,Olje,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,6832.0
21,01.02.18,01.02.18,0,0,ZBIRANJE POSEBNO (po posebnih predpisih),Baterije,*,46.160852649999995,14.685852295708152,46.160852649999995,14.685852295708152,524477.0
22,01.02.18,01.02.18,0,3,NASTAJANJE NEKOMUNALNIH ODPADKOV,Nevarne snovi,*,46.160852649999995,14.685852295708152,46.2326087,14.329421535048724,187.0
