Lokacija,lang,long,atd
"MARIBORSKA CESTA 10, 2392 MEŽICA",46.52284195,14.85399786154171,0.0
"CESTA 9. AVGUSTA 8B, 1410 ZAGORJE OB SAVI",46.1400774,15.0056389,0.0
"JURČKOVA CESTA 49, 1000 LJUBLJANA",46.029943599999996,14.520660959523532,0.0
"AVTOMOBILSKA ULICA 15, 2000 MARIBOR",46.52073275,15.67436212115015,0.0
"STARA CESTA 3, 1354 HORJUL",46.0232757,14.3070209,0.0
"DOBROVNIK 8, 9223 DOBROVNIK - DOBRONAK",46.65045055,16.353750745694075,0.0
"BABIČI 42D, 6273 MAREZIGE",45.5025887,13.785824,0.0
"KLANEC 15A, 1218 KOMENDA",46.211844,14.5333894,0.0
"MIKLAVŠKA CESTA 57, 2311 HOČE",46.4998635,15.6508472,0.0
"ŽIŽKI 78, 9232 ČRENŠOVCI",46.57385415,16.30852699784023,0.0
"MELJSKA CESTA 57, 2000 MARIBOR",46.5606271,15.6654981,0.0
"KOROŠKA CESTA 13E, 3320 VELENJE",46.3709669,15.0979769,0.0
"JARŠKA CESTA 2, 1234 MENGEŠ",46.16288135,14.578821278714662,0.0
"DRSKA 44, 8000 NOVO MESTO",45.80040355,15.158190965806295,0.0
"GRIČ 2, 1370 LOGATEC",45.9173263,14.229424,0.0
"BRVACE 12, 1290 GROSUPLJE",45.9625641,14.6469191,0.0
"SENOŽEČE 151, 6224 SENOŽEČE",45.7202798,14.0374566,0.0
"PANONSKA CESTA 15, 9252 RADENCI",46.643316549999994,16.0401279,0.0
"VAČE 97, 1252 VAČE",46.1190432,14.8377953,0.0
"MLADINSKA ULICA 4, 2367 VUZENICA",46.599650350000005,15.164086945109968,0.0
"CESTA MARŠALA TITA 1A, 4270 JESENICE",46.436276500000005,14.059961106280412,0.0
"ULICA TALCEV 3, 8000 NOVO MESTO",45.80635625,15.164914848229246,0.0
"ZGORNJA SELNICA 24, 2352 SELNICA OB DRAVI",46.5567241,15.5137783,0.0
"CESTA NA DOBRAVO 28, 8290 SEVNICA",46.010764699999996,15.306797195698344,0.0
"KOROŠKA CESTA 6, 2390 RAVNE NA KOROŠKEM",46.54666325,14.96291512106935,0.0
"PACINJE 40A, 2250 PTUJ",46.4520259,15.9415015,0.0
"RADNA 31, 8294 BOŠTANJ",46.0066552,15.291979099052474,0.0
"GORJANSKA CESTA 2, 8311 KOSTANJEVICA NA KRKI",45.8435943,15.423576343565076,0.0
"SERMIN 74A, 6000 KOPER - CAPODISTRIA",45.549843,13.7623355,0.0
"BATUJE 90, 5262 ČRNIČE",45.9010559,13.7809427,0.0
"BATUJE 83, 5262 ČRNIČE",45.8856028,13.773588468702318,0.0
"MARIBORSKA CESTA 140, 3000 CELJE",46.2476767,15.279576,0.0
"SERMIN 75F, 6000 KOPER - CAPODISTRIA",45.549843,13.7623355,0.0
"BREZJE PRI TRŽIČU 2, 4290 TRŽIČ",46.3571253,14.2757265,0.0
"VODOVODNA ULICA 32, 2000 MARIBOR",46.53574305,15.651375300000002,0.0
"GOLAC 43A, 6243 OBROV",45.5142212,14.06186,0.0
"KOVORSKA CESTA 74, 4290 TRŽIČ",46.3511665,14.2889561,0.0
"TRŽAŠKA CESTA 1A, 1370 LOGATEC",45.9158918,14.2132678,0.0
"TEHNOLOŠKI PARK 19, 1000 LJUBLJANA",46.0493821,14.4607368,0.0
"CELOVŠKA CESTA 330, 1210 LJUBLJANA - ŠENTVID",46.0937639,14.4689622,0.0
"KUKOVČEVA ULICA 1, 3000 CELJE",46.218106,15.262535374241791,0.0
"LAZE PRI DRAMLJAH 6B, 3222 DRAMLJE",46.260256999999996,15.391710799999998,0.0
"PLANINSKA CESTA 15, 1431 DOL PRI HRASTNIKU",46.1397779,15.1161988,0.0
"BABINCI 46, 9240 LJUTOMER",46.543492799999996,16.188532259074236,0.0
"DOLENJSKA CESTA 133A, 1000 LJUBLJANA",46.0241335,14.54005475,0.0
"VIČAVA 49, 2250 PTUJ",46.4250502,15.8611371,0.0
"BREZOVCE 9, 1236 TRZIN",46.1211896,14.5488565,0.0
"KRTINCE 11C, 3241 PODPLAT",46.250435550000006,15.567424032460423,0.0
"JADRANSKA CESTA 79, 6280 ANKARAN - ANCARANO",45.5724754,13.7464538,0.0
"ULICA MIHE ZIDANŠKA 23, 2341 LIMBUŠ",46.5529897,15.5866963,0.0
"ANDRAŽ NAD POLZELO 27, 3313 POLZELA",46.3338159,15.0847401,0.0
"RUSKA ULICA 9, 2000 MARIBOR",46.533896999999996,15.66674027954662,0.0
"LINHARTOVA CESTA 40, 1000 LJUBLJANA",46.0635325,14.5150703,0.0
"SERMIN 7A, 6000 KOPER - CAPODISTRIA",45.553197100000006,13.763443999999996,0.0
"ZVIRČE 10, 4290 TRŽIČ",46.3257576,14.2787476,0.0
"BILJE 135C, 5292 RENČE",45.897971,13.647932041263836,0.0
"SMRJENE 74D, 1291 ŠKOFLJICA",45.9361192,14.5906636,0.0
"DERČEVA ULICA 4, 1000 LJUBLJANA",46.06855485,14.489001578859714,0.0
"JAMOVA CESTA 97, 1000 LJUBLJANA",46.04107765,14.47963385,0.0
"GAŠPERŠIČEVA ULICA 10, 1000 LJUBLJANA",46.0518745,14.556258242536817,0.0
"MALGAJEVA ULICA 7, 1000 LJUBLJANA",46.0610069,14.497764,0.0
"ORMOŠKA CESTA 21, 2250 PTUJ",46.41723115,15.88109979575863,0.0
"MESTNI TRG 15, 4220 ŠKOFJA LOKA",46.1647663,14.307056162362107,0.0
"KOSOVELOVA ULICA 9, 5280 IDRIJA",45.9997146,14.0216972,0.0
"GASILSKA CESTA 4, 4208 ŠENČUR",46.2421654,14.4188613,0.0
"VEGOVA ULICA 22, 1251 MORAVČE",46.1358496,14.745144,0.0
"ALPSKA CESTA 43N, 4248 LESCE",46.3617154,14.1582204,0.0
"LJUBLJANSKA CESTA 10, 1353 BOROVNICA",45.92160935,14.360550536407768,0.0
"ARNAČE 2A, 3320 VELENJE",46.3387606,15.1166717,0.0
"LITIJSKA CESTA 259, 1261 LJUBLJANA - DOBRUNJE",46.0418571,14.5896396,0.0
"VRTAČA 5A, 1000 LJUBLJANA",46.0483375,14.496010738068712,0.0
"PREŠERNOVA ULICA 8, 8210 TREBNJE",45.9082218,15.0229994,0.0
"MELJSKA CESTA 1, 2000 MARIBOR",46.5609425,15.6565717,0.0
"CANKARJEVA ULICA 3, 6000 KOPER - CAPODISTRIA",45.54841615,13.731383912996643,0.0
"TRIGLAVSKA CESTA 15, 4264 BOHINJSKA BISTRICA",46.2723463,13.9550465,0.0
"CESTA KRIMSKEGA ODREDA 25, 1360 VRHNIKA",45.9643715,14.3032682,0.0
"PERIČEVA ULICA 27, 1000 LJUBLJANA",46.0664375,14.5113231,0.0
"TRŽAŠKA CESTA 150, 1370 LOGATEC",45.9158918,14.2132678,0.0
"KERSNIKOVA ULICA 4, 1000 LJUBLJANA",46.0556079,14.5039882,0.0
"POLJUBINJ 98, 5220 TOLMIN",46.1812976,13.7552363,0.0
"CESTA I 23, 3320 VELENJE",46.35912245,15.125369611689191,0.0
"HVALETINCI 15, 2255 VITOMARCI",46.5122376,15.945549,0.0
"ŠMARJEŠKA CESTA 63, 8000 NOVO MESTO",45.8150322,15.1772564,0.0
"KRKAVČE 23A, 6274 ŠMARJE",45.4649892,13.6933027,0.0
"BAZOVIŠKA CESTA 17, 6240 KOZINA",45.608466250000006,13.934048047048336,0.0
"TRG MATIJE GUBCA 3, 8270 KRŠKO",45.95761475,15.494711023437496,0.0
"SMOLENJA VAS 10A, 8000 NOVO MESTO",45.809099950000004,15.202429237106688,0.0
"PONIKVA 29A, 3232 PONIKVA",44.6420141,18.0751342,0.0
"BREZNI VRH 10A, 2363 PODVELKA",46.623266,15.329141,0.0
"PERZONALI 25, 2391 PREVALJE",46.5419822,14.9102336,0.0
"SLOVENSKA VAS 14, 8232 ŠENTRUPERT",45.9550127,15.0906926573747,0.0
"CESTA STANETA ŽAGARJA 73, 4000 KRANJ",46.2440675,14.375597557434736,0.0
"KAJUHOVA ULICA 32H, 1000 LJUBLJANA",46.0668534,14.5337912,0.0
"CESTA JAKA PLATIŠE 17, 4000 KRANJ",46.2404039,14.3713828,0.0
"CANKARJEVA ULICA 33, 6000 KOPER - CAPODISTRIA",45.548311,13.732198,0.0
"LITIJSKA CESTA 143, 1000 LJUBLJANA",46.0373311,14.6280511,0.0
"CELJSKA CESTA 55, 3240 ŠMARJE PRI JELŠAH",46.228643250000005,15.504226694781748,0.0
"SORA 21A, 1215 MEDVODE",46.1435982,14.3686878,0.0
"STUDENEC 11, 1260 LJUBLJANA - POLJE",46.05566265,14.570078068004737,0.0
"ULICA OKTOBRSKE REVOLUCIJE 10, 6310 IZOLA - ISOLA",45.535271550000004,13.660317849999997,0.0
"ULICA PADLIH BORCEV 31, 1000 LJUBLJANA",46.08485985,14.50944114695982,0.0
"LACKOVA CESTA 76, 2000 MARIBOR",46.5405598,15.6073827,0.0
"ULICA DR. ANTONA KOROŠCA 23, 9244 SVETI JURIJ OB ŠČAVNICI",46.5667471,16.024069238575734,0.0
"ŽIČKA CESTA 11, 3210 SLOVENSKE KONJICE",46.3348543,15.423451,0.0
"TRUBARJEVA ULICA 28, 3270 LAŠKO",46.1521688,15.2373778,0.0
"OBALA 107, 6320 PORTOROŽ - PORTOROSE",45.5052523,13.6025336,0.0
"CESTA 9. AVGUSTA 44, 1410 ZAGORJE OB SAVI",46.1400774,15.0056389,0.0
"DOLENČEVA POT 6, 4000 KRANJ",46.2702606,14.3486126,0.0
"INDUSTRIJSKA CESTA 2B, 6310 IZOLA - ISOLA",45.5375694,13.668870885974943,0.0
"LANCOVO 50C, 4240 RADOVLJICA",46.339474,14.1634898,0.0
"ZGORNJE HOČE 43C, 2311 HOČE",46.4880407,15.6223642,0.0
"OB PROGI 3, 3250 ROGAŠKA SLATINA",46.2434754,15.621132,0.0
"KOLODVORSKA ULICA 10, 9240 LJUTOMER",46.52793495,16.192823081726907,0.0
"ŠOLSKA ULICA 16B, 3330 MOZIRJE",46.3357708,14.9550545,0.0
"ULICA STANETA BOKALA 15, 4270 JESENICE",46.4420224,14.04087125,0.0
"KREKOV TRG 1, 1000 LJUBLJANA",46.050393,14.5107917,0.0
"BREZJE PRI GROSUPLJEM 85, 1290 GROSUPLJE",45.9571203,14.647663,0.0
"CESTA 4. JULIJA 74, 8270 KRŠKO",45.958805,15.4923015,0.0
"DOBROVELJSKA CESTA 5, 3214 ZREČE",46.3659665,15.3955153,0.0
"CESTA KOZJANSKEGA ODREDA 21, 3230 ŠENTJUR",46.212944300000004,15.401068369380237,0.0
"MARIBORSKA CESTA 84, 3000 CELJE",46.23921645,15.2744729,0.0
"UŽIŠKA ULICA 4, 2000 MARIBOR",46.537366399999996,15.599080742350896,0.0
"AŽBETOVA ULICA 2, 1000 LJUBLJANA",46.05084585,14.49081825,0.0
"VELIKA BUČNA VAS 3B, 8000 NOVO MESTO",45.8219191,15.1566182,0.0
"FINŽGARJEVA ULICA 16, 1215 MEDVODE",46.1454842,14.4034638,0.0
"HRUŠEVICA 1B, 6222 ŠTANJEL",45.8195819,13.8420198,0.0
"KOLODVORSKA POT 8, 5000 NOVA GORICA",45.9553232,13.6352838,0.0
"GASILSKA CESTA 39, 1290 GROSUPLJE",45.9548167,14.6652033,0.0
"DEVINSKA ULICA 1A, 1000 LJUBLJANA",46.0407556,14.4992077,0.0
"VESELOVO NABREŽJE 16, 1234 MENGEŠ",46.1715996,14.5735691,0.0
"PODLJUBELJ 272, 4290 TRŽIČ",46.4322996,14.2620498,0.0
"BAZOVIŠKA ULICA 6, 5000 NOVA GORICA",45.9561899,13.6402792,0.0
"KIDRIČEVA CESTA 57, 4220 ŠKOFJA LOKA",46.1671106,14.3138278,0.0
"TRŽAŠKA CESTA 7B, 1360 VRHNIKA",45.9641962,14.2968956,0.0
"ULICA 8. FEBRUARJA 71, 2204 MIKLAVŽ NA DRAVSKEM POLJU",46.460726050000005,15.711216040352257,0.0
"DONOVA CESTA 2, 1215 MEDVODE",46.14420845,14.411642369721676,0.0
"DUNAJSKA CESTA 162, 1000 LJUBLJANA",46.0842295,14.5141804,0.0
"SELO NAD POLHOVIM GRADCEM 3, 1355 POLHOV GRADEC",46.1022544,14.2918877,0.0
"ZGORNJE JEZERSKO 62, 4206 ZGORNJE JEZERSKO",46.3928211,14.495346,0.0
"ČRNIČE 1C, 5262 ČRNIČE",45.90345155,13.781663290356283,0.0
