,Lokacija,lat,lon
73,"STARA CESTA 3, 1354 HORJUL",46.0232757,14.3070209
74,"DOBROVNIK 8, 9223 DOBROVNIK - DOBRONAK",46.65045055,16.353750745694075
75,"BABIČI 42D, 6273 MAREZIGE",45.5025887,13.785824
76,"KLANEC 15A, 1218 KOMENDA",46.211844,14.5333894
77,"MIKLAVŠKA CESTA 57, 2311 HOČE",46.4998635,15.6508472
78,"ŽIŽKI 78, 9232 ČRENŠOVCI",46.57385415,16.30852699784023
79,"MELJSKA CESTA 57, 2000 MARIBOR",46.5606271,15.6654981
80,"KOROŠKA CESTA 13E, 3320 VELENJE",46.3709669,15.0979769
81,"JARŠKA CESTA 2, 1234 MENGEŠ",46.16288135,14.578821278714662
82,"DRSKA 44, 8000 NOVO MESTO",45.80040355,15.158190965806297
83,"GRIČ 2, 1370 LOGATEC",45.9173263,14.229424
84,"BRVACE 12, 1290 GROSUPLJE",45.9625641,14.6469191
85,"SENOŽEČE 151, 6224 SENOŽEČE",45.7202798,14.0374566
86,"PANONSKA CESTA 15, 9252 RADENCI",46.64331655,16.0401279
87,"VAČE 97, 1252 VAČE",46.1190432,14.8377953
88,"MLADINSKA ULICA 4, 2367 VUZENICA",46.599650350000005,15.164086945109968
89,"CESTA MARŠALA TITA 1A, 4270 JESENICE",46.436276500000005,14.059961106280412
90,"ULICA TALCEV 3, 8000 NOVO MESTO",45.80635625,15.164914848229246
91,"ZGORNJA SELNICA 24, 2352 SELNICA OB DRAVI",46.5567241,15.5137783
92,"CESTA NA DOBRAVO 28, 8290 SEVNICA",46.0107647,15.306797195698344
93,"KOROŠKA CESTA 6, 2390 RAVNE NA KOROŠKEM",46.54666325,14.96291512106935
94,"PACINJE 40A, 2250 PTUJ",46.4520259,15.9415015
95,"RADNA 31, 8294 BOŠTANJ",46.0066552,15.291979099052474
96,"GORJANSKA CESTA 2, 8311 KOSTANJEVICA NA KRKI",45.8435943,15.423576343565076
97,"SERMIN 74A, 6000 KOPER - CAPODISTRIA",45.549843,13.7623355
98,"BATUJE 90, 5262 ČRNIČE",45.9010559,13.7809427
99,"BATUJE 83, 5262 ČRNIČE",45.8856028,13.773588468702318
100,"MARIBORSKA CESTA 140, 3000 CELJE",46.2476767,15.279576
101,"SERMIN 75F, 6000 KOPER - CAPODISTRIA",45.549843,13.7623355
102,"BREZJE PRI TRŽIČU 2, 4290 TRŽIČ",46.3571253,14.2757265
103,"VODOVODNA ULICA 32, 2000 MARIBOR",46.53574305,15.651375300000002
104,"GOLAC 43A, 6243 OBROV",45.5142212,14.06186
105,"KOVORSKA CESTA 74, 4290 TRŽIČ",46.3511665,14.2889561
106,"TRŽAŠKA CESTA 1A, 1370 LOGATEC",45.9158918,14.2132678
107,"TEHNOLOŠKI PARK 19, 1000 LJUBLJANA",46.0493821,14.4607368
108,"CELOVŠKA CESTA 330, 1210 LJUBLJANA - ŠENTVID",46.0937639,14.4689622
109,"KUKOVČEVA ULICA 1, 3000 CELJE",46.218106,15.262535374241793
110,"LAZE PRI DRAMLJAH 6B, 3222 DRAMLJE",46.260257,15.391710799999998
111,"PLANINSKA CESTA 15, 1431 DOL PRI HRASTNIKU",46.1397779,15.1161988
112,"BABINCI 46, 9240 LJUTOMER",46.5434928,16.188532259074236
113,"DOLENJSKA CESTA 133A, 1000 LJUBLJANA",46.0241335,14.54005475
114,"VIČAVA 49, 2250 PTUJ",46.4250502,15.8611371
115,"BREZOVCE 9, 1236 TRZIN",46.1211896,14.5488565
116,"KRTINCE 11C, 3241 PODPLAT",46.250435550000006,15.567424032460424
117,"JADRANSKA CESTA 79, 6280 ANKARAN - ANCARANO",45.5724754,13.7464538
118,"ULICA MIHE ZIDANŠKA 23, 2341 LIMBUŠ",46.5529897,15.5866963
119,"ANDRAŽ NAD POLZELO 27, 3313 POLZELA",46.3338159,15.0847401
120,"RUSKA ULICA 9, 2000 MARIBOR",46.533897,15.66674027954662
121,"LINHARTOVA CESTA 40, 1000 LJUBLJANA",46.0635325,14.5150703
122,"SERMIN 7A, 6000 KOPER - CAPODISTRIA",45.553197100000006,13.763443999999996
123,"ZVIRČE 10, 4290 TRŽIČ",46.3257576,14.2787476
124,"BILJE 135C, 5292 RENČE",45.897971,13.647932041263836
125,"SMRJENE 74D, 1291 ŠKOFLJICA",45.9361192,14.5906636
126,"DERČEVA ULICA 4, 1000 LJUBLJANA",46.06855485,14.489001578859714
127,"JAMOVA CESTA 97, 1000 LJUBLJANA",46.04107765,14.47963385
128,"GAŠPERŠIČEVA ULICA 10, 1000 LJUBLJANA",46.0518745,14.556258242536815
129,"MALGAJEVA ULICA 7, 1000 LJUBLJANA",46.0610069,14.497764
130,"ORMOŠKA CESTA 21, 2250 PTUJ",46.41723115,15.88109979575863
131,"MESTNI TRG 15, 4220 ŠKOFJA LOKA",46.1647663,14.307056162362109
132,"KOSOVELOVA ULICA 9, 5280 IDRIJA",45.9997146,14.0216972
133,"GASILSKA CESTA 4, 4208 ŠENČUR",46.2421654,14.4188613
134,"VEGOVA ULICA 22, 1251 MORAVČE",46.1358496,14.745144
135,"ALPSKA CESTA 43N, 4248 LESCE",46.3617154,14.1582204
136,"LJUBLJANSKA CESTA 10, 1353 BOROVNICA",45.92160935,14.360550536407768
137,"ARNAČE 2A, 3320 VELENJE",46.3387606,15.1166717
138,"LITIJSKA CESTA 259, 1261 LJUBLJANA - DOBRUNJE",46.0418571,14.5896396
139,"VRTAČA 5A, 1000 LJUBLJANA",46.0483375,14.496010738068712
140,"PREŠERNOVA ULICA 8, 8210 TREBNJE",45.9082218,15.0229994
